time,us_lp_stress_fx
2019-01-31 00:00:00+00:00,0.0
2019-02-28 00:00:00+00:00,0.0
2019-03-31 00:00:00+00:00,-0.002750215007536694
2019-04-30 00:00:00+00:00,-0.004519908502948589
2019-05-31 00:00:00+00:00,-0.0045886498126550546
2019-06-30 00:00:00+00:00,0.002210024639180963
2019-07-31 00:00:00+00:00,0.0
2019-08-31 00:00:00+00:00,0.0
2019-09-30 00:00:00+00:00,0.0
2019-10-31 00:00:00+00:00,0.0
2019-11-30 00:00:00+00:00,0.0
2019-12-31 00:00:00+00:00,0.0
2020-01-31 00:00:00+00:00,0.0
2020-02-29 00:00:00+00:00,0.0
2020-03-31 00:00:00+00:00,0.0
2020-04-30 00:00:00+00:00,0.0
2020-05-31 00:00:00+00:00,0.0
2020-06-30 00:00:00+00:00,0.0040686086415751
2020-07-31 00:00:00+00:00,0.01997206202122337
2020-08-31 00:00:00+00:00,0.005367290723292006
2020-09-30 00:00:00+00:00,-8.331422592711135e-05
2020-10-31 00:00:00+00:00,0.0
2020-11-30 00:00:00+00:00,0.0
2020-12-31 00:00:00+00:00,0.0
2021-01-31 00:00:00+00:00,0.0
2021-02-28 00:00:00+00:00,0.0
2021-03-31 00:00:00+00:00,-0.012337915069113192
2021-04-30 00:00:00+00:00,0.013245250513821638
2021-05-31 00:00:00+00:00,0.003725724359246785
2021-06-30 00:00:00+00:00,-0.0005700597051095935
2021-07-31 00:00:00+00:00,0.0
2021-08-31 00:00:00+00:00,0.0
2021-09-30 00:00:00+00:00,0.0
2021-10-31 00:00:00+00:00,0.0
2021-11-30 00:00:00+00:00,0.0
2021-12-31 00:00:00+00:00,0.0
2022-01-31 00:00:00+00:00,0.0
2022-02-28 00:00:00+00:00,0.0
2022-03-31 00:00:00+00:00,0.0
2022-04-30 00:00:00+00:00,0.0
2022-05-31 00:00:00+00:00,0.0
2022-06-30 00:00:00+00:00,-0.012213246115975074
2022-07-31 00:00:00+00:00,0.0011177995399656027
2022-08-31 00:00:00+00:00,-0.014737289871612713
2022-09-30 00:00:00+00:00,-0.0022368097856979574
2022-10-31 00:00:00+00:00,0.0
2022-11-30 00:00:00+00:00,0.0
2022-12-31 00:00:00+00:00,0.0
2023-01-31 00:00:00+00:00,0.0
2023-02-28 00:00:00+00:00,0.0
2023-03-31 00:00:00+00:00,0.0
2023-04-30 00:00:00+00:00,0.0
2023-05-31 00:00:00+00:00,0.0
2023-06-30 00:00:00+00:00,0.0
2023-07-31 00:00:00+00:00,0.0
2023-08-31 00:00:00+00:00,0.0
2023-09-30 00:00:00+00:00,0.0
2023-10-31 00:00:00+00:00,0.0
2023-11-30 00:00:00+00:00,0.0
2023-12-31 00:00:00+00:00,0.0
2024-01-31 00:00:00+00:00,0.0
2024-02-29 00:00:00+00:00,0.0
2024-03-31 00:00:00+00:00,0.0
2024-04-30 00:00:00+00:00,0.0
2024-05-31 00:00:00+00:00,0.0
2024-06-30 00:00:00+00:00,0.0
2024-07-31 00:00:00+00:00,0.0
2024-08-31 00:00:00+00:00,0.0
2024-09-30 00:00:00+00:00,0.0
2024-10-31 00:00:00+00:00,0.0
2024-11-30 00:00:00+00:00,0.0
2024-12-31 00:00:00+00:00,0.0
2025-01-31 00:00:00+00:00,0.0
2025-02-28 00:00:00+00:00,0.0
2025-03-31 00:00:00+00:00,0.0
2025-04-30 00:00:00+00:00,0.0
2025-05-31 00:00:00+00:00,0.0
2025-06-30 00:00:00+00:00,0.0
2025-07-31 00:00:00+00:00,0.0
2025-08-31 00:00:00+00:00,0.0
2025-09-30 00:00:00+00:00,0.0
2025-10-31 00:00:00+00:00,0.0
2025-11-30 00:00:00+00:00,0.0
2025-12-31 00:00:00+00:00,0.0
2026-01-31 00:00:00+00:00,0.0
2026-02-28 00:00:00+00:00,0.0
2026-03-31 00:00:00+00:00,0.0
2026-04-30 00:00:00+00:00,0.0
2026-05-31 00:00:00+00:00,0.0
2026-06-30 00:00:00+00:00,0.0
2026-07-31 00:00:00+00:00,0.0
2026-08-31 00:00:00+00:00,0.0
2026-09-30 00:00:00+00:00,0.0
