time,bs_gap_60m
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,0.0
2012-06-30 00:00:00+00:00,0.0
2012-07-31 00:00:00+00:00,0.0
2012-08-31 00:00:00+00:00,0.0
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,0.0
2012-12-31 00:00:00+00:00,0.0
2013-01-31 00:00:00+00:00,0.0
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,0.0
2013-06-30 00:00:00+00:00,0.0
2013-07-31 00:00:00+00:00,0.0
2013-08-31 00:00:00+00:00,0.0
2013-09-30 00:00:00+00:00,0.0
2013-10-31 00:00:00+00:00,0.0
2013-11-30 00:00:00+00:00,0.0
2013-12-31 00:00:00+00:00,0.0
2014-01-31 00:00:00+00:00,0.0
2014-02-28 00:00:00+00:00,0.0
2014-03-31 00:00:00+00:00,0.0
2014-04-30 00:00:00+00:00,0.0
2014-05-31 00:00:00+00:00,0.0
2014-06-30 00:00:00+00:00,0.0
2014-07-31 00:00:00+00:00,0.0
2014-08-31 00:00:00+00:00,0.0
2014-09-30 00:00:00+00:00,0.0
2014-10-31 00:00:00+00:00,0.003670324982037565
2014-11-30 00:00:00+00:00,0.001998465130824023
2014-12-31 00:00:00+00:00,-0.006893777454231809
2015-01-31 00:00:00+00:00,-0.02590149031596045
2015-02-28 00:00:00+00:00,-0.007193240059457318
2015-03-31 00:00:00+00:00,0.011563895649060019
2015-04-30 00:00:00+00:00,0.006872745662495516
2015-05-31 00:00:00+00:00,0.001161343648577784
2015-06-30 00:00:00+00:00,0.004390587036511739
2015-07-31 00:00:00+00:00,0.018408169819474907
2015-08-31 00:00:00+00:00,-0.015168208039485265
2015-09-30 00:00:00+00:00,-0.008263234727874158
2015-10-31 00:00:00+00:00,0.012682633811796906
2015-11-30 00:00:00+00:00,0.009615594999585086
2015-12-31 00:00:00+00:00,-0.03487817718746222
2016-01-31 00:00:00+00:00,-0.005373232213211954
2016-02-29 00:00:00+00:00,-0.02420152467384118
2016-03-31 00:00:00+00:00,-0.0025534480560204242
2016-04-30 00:00:00+00:00,0.009546299862744023
2016-05-31 00:00:00+00:00,0.005256862636841442
2016-06-30 00:00:00+00:00,-0.038311160134064104
2016-07-31 00:00:00+00:00,-0.006735967202028514
2016-08-31 00:00:00+00:00,-0.0034298587528320823
2016-09-30 00:00:00+00:00,-0.004546470331809882
2016-10-31 00:00:00+00:00,-0.01986201312289393
2016-11-30 00:00:00+00:00,0.027154193782989333
2016-12-31 00:00:00+00:00,-0.0050483787498775134
2017-01-31 00:00:00+00:00,0.002449969081421921
2017-02-28 00:00:00+00:00,0.003398719666208194
2017-03-31 00:00:00+00:00,-0.008356803286349024
2017-04-30 00:00:00+00:00,0.005408953657290105
2017-05-31 00:00:00+00:00,-0.01002054910658623
2017-06-30 00:00:00+00:00,0.009810936903756673
2017-07-31 00:00:00+00:00,0.00225978450037978
2017-08-31 00:00:00+00:00,-0.0025544872330601764
2017-09-30 00:00:00+00:00,0.006564272898497814
2017-10-31 00:00:00+00:00,-0.010104961418225256
2017-11-30 00:00:00+00:00,-0.010074871971381794
2017-12-31 00:00:00+00:00,0.012814555048671572
2018-01-31 00:00:00+00:00,0.0031429961398308226
2018-02-28 00:00:00+00:00,0.009753503342489145
2018-03-31 00:00:00+00:00,0.00916236448253982
