time,us_reer_meanrev_fx
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,0.0
2012-06-30 00:00:00+00:00,0.0
2012-07-31 00:00:00+00:00,0.0
2012-08-31 00:00:00+00:00,0.0
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,0.0
2012-12-31 00:00:00+00:00,0.0
2013-01-31 00:00:00+00:00,0.0
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,0.0
2013-06-30 00:00:00+00:00,0.0
2013-07-31 00:00:00+00:00,0.0
2013-08-31 00:00:00+00:00,0.0
2013-09-30 00:00:00+00:00,0.0
2013-10-31 00:00:00+00:00,0.0
2013-11-30 00:00:00+00:00,0.0
2013-12-31 00:00:00+00:00,0.0
2014-01-31 00:00:00+00:00,0.0
2014-02-28 00:00:00+00:00,0.0
2014-03-31 00:00:00+00:00,0.0
2014-04-30 00:00:00+00:00,0.0
2014-05-31 00:00:00+00:00,0.0
2014-06-30 00:00:00+00:00,0.0
2014-07-31 00:00:00+00:00,0.0
2014-08-31 00:00:00+00:00,0.0
2014-09-30 00:00:00+00:00,0.0
2014-10-31 00:00:00+00:00,0.0
2014-11-30 00:00:00+00:00,0.0
2014-12-31 00:00:00+00:00,0.0
2015-01-31 00:00:00+00:00,-0.01697803693845157
2015-02-28 00:00:00+00:00,0.0017897634512178406
2015-03-31 00:00:00+00:00,-0.010884546389105854
2015-04-30 00:00:00+00:00,0.016377724754738754
2015-05-31 00:00:00+00:00,-0.011949373233741789
2015-06-30 00:00:00+00:00,0.0006744364126303193
2015-07-31 00:00:00+00:00,-0.012726590376620162
2015-08-31 00:00:00+00:00,-0.004369452343785607
2015-09-30 00:00:00+00:00,-0.0035770285415804848
2015-10-31 00:00:00+00:00,0.003911600418583516
2015-11-30 00:00:00+00:00,-0.009032640299865946
2015-12-31 00:00:00+00:00,0.006075243913893358
2016-01-31 00:00:00+00:00,-0.010665867805676577
2016-02-29 00:00:00+00:00,0.0028248873750935655
2016-03-31 00:00:00+00:00,0.020030152944383595
2016-04-30 00:00:00+00:00,0.0032652309959588788
2016-05-31 00:00:00+00:00,-0.01246425301047982
2016-06-30 00:00:00+00:00,0.001691808904573433
2016-07-31 00:00:00+00:00,0.0016992579858146062
2016-08-31 00:00:00+00:00,-0.001873446903983167
2016-09-30 00:00:00+00:00,0.002097573275148701
2016-10-31 00:00:00+00:00,-0.011970360976127026
2016-11-30 00:00:00+00:00,-0.00907791577567918
2016-12-31 00:00:00+00:00,-0.00872360678247519
2017-01-31 00:00:00+00:00,0.013864206787265188
2017-02-28 00:00:00+00:00,-0.002194475452577782
2017-03-31 00:00:00+00:00,-0.0006295907350726271
2017-04-30 00:00:00+00:00,0.00017304963709552368
2017-05-31 00:00:00+00:00,0.006492844085018046
2017-06-30 00:00:00+00:00,0.00957812396351887
2017-07-31 00:00:00+00:00,0.011062592033775909
2017-08-31 00:00:00+00:00,-0.003678905354290274
2017-09-30 00:00:00+00:00,-0.0006712474146046699
2017-10-31 00:00:00+00:00,-0.010981748819377413
2017-11-30 00:00:00+00:00,-0.0007450838850189268
2017-12-31 00:00:00+00:00,0.0
2018-01-31 00:00:00+00:00,0.0
2018-02-28 00:00:00+00:00,0.0
2018-03-31 00:00:00+00:00,0.0
2018-04-30 00:00:00+00:00,0.0
2018-05-31 00:00:00+00:00,0.0
