time,us_wage_haven_usd
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,0.0
2012-06-30 00:00:00+00:00,0.0
2012-07-31 00:00:00+00:00,0.0
2012-08-31 00:00:00+00:00,-0.002886668686173599
2012-09-30 00:00:00+00:00,-0.0018364287590153516
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,0.0
2012-12-31 00:00:00+00:00,0.0
2013-01-31 00:00:00+00:00,0.0
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,0.0
2013-06-30 00:00:00+00:00,0.00579986346640049
2013-07-31 00:00:00+00:00,-0.0022751318832856526
2013-08-31 00:00:00+00:00,0.0
2013-09-30 00:00:00+00:00,0.0
2013-10-31 00:00:00+00:00,0.0
2013-11-30 00:00:00+00:00,0.0
2013-12-31 00:00:00+00:00,0.0
2014-01-31 00:00:00+00:00,0.0
2014-02-28 00:00:00+00:00,0.0
2014-03-31 00:00:00+00:00,0.0
2014-04-30 00:00:00+00:00,0.0
2014-05-31 00:00:00+00:00,0.0
2014-06-30 00:00:00+00:00,0.0
2014-07-31 00:00:00+00:00,0.0
2014-08-31 00:00:00+00:00,0.0
2014-09-30 00:00:00+00:00,0.0
2014-10-31 00:00:00+00:00,0.0
2014-11-30 00:00:00+00:00,0.0
2014-12-31 00:00:00+00:00,0.0
2015-01-31 00:00:00+00:00,0.0
2015-02-28 00:00:00+00:00,0.0
2015-03-31 00:00:00+00:00,0.0
2015-04-30 00:00:00+00:00,0.0
2015-05-31 00:00:00+00:00,0.0
2015-06-30 00:00:00+00:00,-0.0024756686961174834
2015-07-31 00:00:00+00:00,0.0039370226650712326
2015-08-31 00:00:00+00:00,0.0
2015-09-30 00:00:00+00:00,0.0
2015-10-31 00:00:00+00:00,-0.0032280005301045245
2015-11-30 00:00:00+00:00,-0.002652102799962419
2015-12-31 00:00:00+00:00,0.0
2016-01-31 00:00:00+00:00,0.008474229527343446
2016-02-29 00:00:00+00:00,0.001955649442398899
2016-03-31 00:00:00+00:00,0.0
2016-04-30 00:00:00+00:00,-0.004366066266919377
2016-05-31 00:00:00+00:00,-0.0015607587514173682
2016-06-30 00:00:00+00:00,0.0
2016-07-31 00:00:00+00:00,-0.0009600712140415135
2016-08-31 00:00:00+00:00,0.0018005372832896605
2016-09-30 00:00:00+00:00,-0.0022570474324568046
2016-10-31 00:00:00+00:00,0.0
2016-11-30 00:00:00+00:00,0.0
2016-12-31 00:00:00+00:00,0.0
2017-01-31 00:00:00+00:00,0.0
2017-02-28 00:00:00+00:00,0.0
2017-03-31 00:00:00+00:00,0.0
2017-04-30 00:00:00+00:00,0.0
2017-05-31 00:00:00+00:00,0.0
2017-06-30 00:00:00+00:00,0.0
2017-07-31 00:00:00+00:00,0.0
2017-08-31 00:00:00+00:00,0.0022394984068494495
2017-09-30 00:00:00+00:00,-0.0007974018987544351
2017-10-31 00:00:00+00:00,0.0
2017-11-30 00:00:00+00:00,-0.003043224440758885
2017-12-31 00:00:00+00:00,9.468008967239427e-05
2018-01-31 00:00:00+00:00,-0.01744267066852745
2018-02-28 00:00:00+00:00,-0.0005153282503665979
2018-03-31 00:00:00+00:00,0.0
2018-04-30 00:00:00+00:00,0.010338319317095612
2018-05-31 00:00:00+00:00,0.003016262201684272
2018-06-30 00:00:00+00:00,0.0
2018-07-31 00:00:00+00:00,0.0
